2022-07-05 10:07:298 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-05 10:07:340 INFO  HomePage :45 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (e22a0d1d6977ee7b78f7039ac61e211c)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-05 10:07:925 INFO  HomePage :50 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (e22a0d1d6977ee7b78f7039ac61e211c)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-05 10:07:157 INFO  HomePage :55 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (e22a0d1d6977ee7b78f7039ac61e211c)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-05 10:07:443 INFO  HomePage :61 - Enter Bitcoin in the search : Bitcoin
2022-07-05 10:07:672 INFO  HomePage :67 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (e22a0d1d6977ee7b78f7039ac61e211c)] -> id: nav-search-submit-button]
2022-07-05 10:07:311 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-05 10:07:264 INFO  HomePage :45 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (75f892c99cabbf66104258c6ab86474e)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-05 10:07:942 INFO  HomePage :50 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (75f892c99cabbf66104258c6ab86474e)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-05 10:07:134 INFO  HomePage :55 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (75f892c99cabbf66104258c6ab86474e)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-05 10:07:513 INFO  HomePage :61 - Enter Bitcoin in the search : Bitcoin
2022-07-05 10:07:705 INFO  HomePage :67 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (75f892c99cabbf66104258c6ab86474e)] -> id: nav-search-submit-button]
2022-07-05 10:07:99 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-05 10:07:616 INFO  HomePage :45 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (c65375261ef324b3a091a74936461047)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-05 10:07:971 INFO  HomePage :50 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (c65375261ef324b3a091a74936461047)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-05 10:07:269 INFO  HomePage :55 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (c65375261ef324b3a091a74936461047)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-05 10:07:592 INFO  HomePage :61 - Enter Bitcoin in the search : Bitcoin
2022-07-05 10:07:808 INFO  HomePage :67 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (c65375261ef324b3a091a74936461047)] -> id: nav-search-submit-button]
2022-07-05 10:07:223 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-05 10:07:184 INFO  HomePage :45 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (7e47d86e1b8e239c9da1bd25583f7bec)] -> xpath: //input[@id='sp-cc-accept']]
